id,title,in_stock,price,players,age,maker,url
W0038,Ікі (Iki),В наявності,1875.0,2–4,14+,Woodcat,https://woodcat.com.ua/nastilna-hra-iki-iki/
SCSPL01UKR,Розкіш (Splendor),В наявності,1244.0,2–4,10+,"Asmodee, Бельвіль",https://woodcat.com.ua/nastilna-hra-rozkish-splendor/
LOB2219UA,Ticket to Ride: Європа,В наявності,2450.0,2–5,8+,Lord of Boards,https://woodcat.com.ua/nastilna-hra-ticket-to-ride-yevropa/
GKCH158,Котяча риберня (Fish & Katz),В наявності,880.0,2–6,5+,Geekach,https://woodcat.com.ua/nastilna-hra-kotiacha-rybernia-fish-katz/
GKCH007,Одним словом (Just One),В наявності,790.0,3–7,8+,Geekach,https://woodcat.com.ua/nastilna-hra-odnym-slovom-just-one/
LOB2319UA,Гарячі Бургери (Burger ASAP),В наявності,595.0,2–5,7+,Lord of Boards,https://woodcat.com.ua/nastilna-hra-hariachi-burhery-burger-asap/
FI17005,Кодові Імена: Малюнки (Codenames Pictures),В наявності,950.0,2–8,10+,FEELINDIGO,https://woodcat.com.ua/nastilna-hra-kodovi-imena-maliunky-codenames-pictures/
1005001,Кодові імена: гра слів (Codenames),В наявності,950.0,2–8,14+,FEELINDIGO,https://woodcat.com.ua/kodovi-imena-hra-sliv-codenames/
GKCH180bc,Пачка чипсів (Bag of Chips),В наявності,475.0,2–5,8+,"Geekach, White Games",https://woodcat.com.ua/nastilna-hra-pachka-chypsiv-bag-of-chips/
LBG00001,13 Підказок (13 Clues),В наявності,975.0,2–6,8+,,https://woodcat.com.ua/nastilna-hra-13-pidkazok-13-clues/
1000260,Влучний хід (That's Pretty Clever!),В наявності,495.0,1–4,8+,YellowBox,https://woodcat.com.ua/nastilna-hra-vluchnyi-khid-thats-pretty-clever/
1000189,Чпок (Quick And Dirty),В наявності,361.0,2–8,18+,YellowBox,https://woodcat.com.ua/nastilna-hra-chpok-quick-and-dirty/
LOB2217UA,Перекуп,В наявності,850.0,2–6,8+,Lord of Boards,https://woodcat.com.ua/nastilna-hra-perekup/
