id,name,price,in_stock,link
258,"ТОП! Agricola - EN (Агрікола, Англійською)",2900.0,False,https://gameisland.prom.ua//ua/p1755194117-top-agricola-agrikola.html
260,"Avalon Hill Betrayal at the House on the Hill 3rd Edition - EN (Зрада у будинку на холмі, Англійською)",2925.0,False,https://gameisland.prom.ua//ua/p1755224354-avalon-hill-betrayal.html
261,"Brass Birmingham (Брасс Бірмінгем, Англійською)",3555.0,False,https://gameisland.prom.ua//ua/p1755832087-brass-birmingham-brass.html
263,"Castles of Mad King Ludwig - EN (Замки безумного короля Людовика, Англійською)",2825.0,False,https://gameisland.prom.ua//ua/p1755854197-castles-mad-king.html
266,"ОРИГІНАЛ! Dune (Дюна, Англійською)",2860.0,False,https://gameisland.prom.ua//ua/p1756273102-original-dune-dyuna.html
269,"Imperium: Classics - EN (Імперіум Класичний, Англійською)",1850.0,False,https://gameisland.prom.ua//ua/p1756429814-imperium-classics-imperium.html
270,"Imperium: Legends - EN (Імперіум Легендарний, Англійською)",1865.0,False,https://gameisland.prom.ua//ua/p1756462370-imperium-legends-imperium.html
274,"Monopoly: Star Wars Boba Fett Edition (Монополія: Зоряні Війни Бобба Фетт, Англійською)",1895.0,False,https://gameisland.prom.ua//ua/p1760765812-monopoly-star-wars.html
275,"Monopoly: Star Wars Dark Side (Монополія Зоряні Війни: Темна сторона, Англійською)",2665.0,False,https://gameisland.prom.ua//ua/p1761055671-monopoly-star-wars.html
276,"ТОП! Nemesis: Lockdown - Strech Goals (Немезіда: Локдаун Розширені Цілі з Кікстартер, Англійською)",5675.0,False,https://gameisland.prom.ua//ua/p1761078044-top-nemesis-lockdown.html
280,"Praga Caput Regni - EN (Прага: Серце Імперії, Англійською)",1965.0,False,https://gameisland.prom.ua//ua/p1761299208-praga-caput-regni.html
281,"Ticket To Ride Poland: Map Collection (Квиток на потяг: Польша, Англійською)",1385.0,False,https://gameisland.prom.ua//ua/p1761329639-ticket-ride-poland.html
289,"ТОП! Small World - Underground - EN (Маленький світ: Підземний світ, Англійською)",2880.0,False,https://gameisland.prom.ua//ua/p1763661999-top-small-world.html
291,"Spartacus: A Game of Blood & Treachery - EN (Спартак: Гра Крові і Зради, Англійською)",2445.0,False,https://gameisland.prom.ua//ua/p1763734056-spartacus-game-blood.html
293,"ТОП! Tang Garden (Сад Тан, Англійською)",3255.0,False,https://gameisland.prom.ua//ua/p1764220346-top-tang-garden.html
300,"Ticket to Ride - Map Collection 2: India. Квиток на потяг - Квиток на поїзд: Індія , Англійською)",1400.0,False,https://gameisland.prom.ua//ua/p1764944733-ticket-ride-map.html
301,"Ticket to Ride - Map Collection 4: Nederland - EN (Квиток на потяг - Колекція карт №4 Нідерланди, Англійською)",1455.0,False,https://gameisland.prom.ua//ua/p1764959479-ticket-ride-map.html
302,ХІТ!  Deep Sea Adventure / Глибоководні пригоди,300.0,False,https://gameisland.prom.ua//ua/p1766194312-hit-deep-sea.html
303,ТОП! Avalon Resistance / Опір: Авалон,500.0,False,https://gameisland.prom.ua//ua/p1766206202-top-avalon-resistance.html
304,ХІТ! Dobble/Доббль,190.0,False,https://gameisland.prom.ua//ua/p1766212615-hit-dobble-dobbl.html
307,"ТОП! UNO Phase 10 (Уно, Фаза 10)",120.0,False,https://gameisland.prom.ua//ua/p1766978700-top-uno-phase.html
319,ТОП! Останній день Атлантиди (The Island) + правила УКРАЇНСЬКОЮ,2150.0,False,https://gameisland.prom.ua//ua/p1776710802-top-poslednij-den.html
320,"ТОП! Паропанк (Coup: Steampunk, Переворот)",305.0,False,https://gameisland.prom.ua//ua/p1777055044-top-paropank-coup.html
321,ХІТ! Risk Game of Thrones (Риска: Гра Престолів),2950.0,False,https://gameisland.prom.ua//ua/p1782435745-hit-risk-game.html
322,ТОП! Настільна гра Rummikub 6 players (Руммікуб для 6 гравців + правила російською),850.0,False,https://gameisland.prom.ua//ua/p1783309948-top-nastolnaya-igra.html
326,ХІТ! Настільна гра Alchemists: The King's Golem (Алхіміки: Королівський голем),1870.0,False,https://gameisland.prom.ua//ua/p1788993588-hit-nastolnaya-igra.html
329,ХІТ! Настільна гра Codenames XXL (Кодові імена XXL),1570.0,False,https://gameisland.prom.ua//ua/p1789481918-hit-nastolnaya-igra.html
332,ТОП! Настільна гра Codenames: Pictures XXL (Кодові імена XXL),1570.0,False,https://gameisland.prom.ua//ua/p1790249949-top-nastolnaya-igra.html
352,ТОП! Настільна гра Barrage — Base Game (Гребля),3500.0,False,https://gameisland.prom.ua//ua/p1796408214-hit-nastolnaya-igra.html
353,"ТОП! Доповнення: Barrage The Leeghwater Project (Гребель: Проект ""Легватер"")",1400.0,False,https://gameisland.prom.ua//ua/p1796720145-top-dopolnenie-barrage.html
355,ХІТ! Доповнення Barrage: Nile Affair (Гребель: Справа Нілу),600.0,False,https://gameisland.prom.ua//ua/p1796834682-hit-dopolnenie-barrage.html
35928,ХІТ! Настільна гра «Маєтки божевілля» / Мansins of Madness Second Edition,4550.0,False,https://gameisland.prom.ua//ua/p1829318609-hit-nastolnaya-igra.html
367,ХІТ! Настільна гра UNO Flip! (Уно Подвійна гра),350.0,False,https://gameisland.prom.ua//ua/p1835426042-hit-nastolnaya-igra.html
368,ТОП! Настільна гра Сонік. Суперкоманди (Sonic Super Teams) УКР,1280.0,False,https://gameisland.prom.ua//ua/p1838219946-top-nastolnaya-igra.html
400,Настільна гра Вулик: кишеньковий Hive Pocket (UА),799.0,False,https://gameisland.prom.ua//ua/p1924013441-nastolnaya-igra-ulej.html
408,Доповнення Ходу Героям Нема: Помста Магістра Гільдії,990.0,False,https://gameisland.prom.ua//ua/p1924446630-dopolnenie-hoda-geroyam.html
431,Настільна гра Крошкові міста (Tiny Towns),1610.0,False,https://gameisland.prom.ua//ua/p1926308108-nastolnaya-igra-kroshechnye.html
446,Настільна гра ROOT. Коріння гра про лісовий лад і безлад,2240.0,False,https://gameisland.prom.ua//ua/p1928454028-nastolnaya-igra-root.html
449,Настільна гра Залізниця Inc. Багрянець (Railroad Ink: Blazing Red Edition),825.0,False,https://gameisland.prom.ua//ua/p1928596924-nastolnaya-igra-zheleznaya.html
455,Настільна гра Тераформування Марса. Експедиція Арес (Terraforming Mars: Ares Expedition),2000.0,False,https://gameisland.prom.ua//ua/p1929256651-nastolnaya-igra-pokorenie.html
456,Промокарти для гри Тераформування Марса. Експедиція Арес (17 шт),270.0,False,https://gameisland.prom.ua//ua/p1929264843-promokarty-dlya-igry.html
462,Настільна гра Володар Перснів. Пригоди в Середзем'ї (The Lord of the Rings: Journeys in Middle-Earth),4450.0,False,https://gameisland.prom.ua//ua/p1930988665-nastolnaya-igra-vlastelin.html
463,Настільна гра Прадавній жах / Eldritch Horror,2950.0,False,https://gameisland.prom.ua//ua/p1931030823-nastolnaya-igra-drevnij.html
467,Доповнення Дюна: Імперіум – Розквіт Ікса / Dune: Imperium – Rise of Ix,1650.0,False,https://gameisland.prom.ua//ua/p1931141819-dopolnenie-dyuna-imperiya.html
471,Настільна гра Звір (Beast),2950.0,False,https://gameisland.prom.ua//ua/p1931264230-nastolnaya-igra-zver.html
479,Настільна гра Шерлок. 3 в 1. Набір 5,450.0,False,https://gameisland.prom.ua//ua/p1932265858-nastolnaya-igra-sherlok.html
480,Настільна гра Обскуріо (Obscurio),1490.0,False,https://gameisland.prom.ua//ua/p1932314247-nastolnaya-igra-obskurio.html
481,Доповнення Серп: Небесний гамбіт (Scythe: The Wind Gambit),1150.0,False,https://gameisland.prom.ua//ua/p1932324770-dopolnenie-serp-nebesnyj.html
482,Настільна гра Коса: Загарбники з далеких країв (Scythe: Invaders from Afar),1200.0,False,https://gameisland.prom.ua//ua/p1932829058-dopolnenie-serp-zahvatchiki.html
007082,ОРИГІНАЛ! Настільна гра Тераформування марса (Підкорення марсу / Terraforming mars) УКРАЇНСЬКОЮ,2900.0,False,https://gameisland.prom.ua//ua/p1933056335-original-nastolnaya-igra.html
493,Настільна гра A Game of Thrones / Гра Престолів англійською,3350.0,False,https://gameisland.prom.ua//ua/p1937485102-nastolnaya-igra-game.html
496,Доповнення Twilight Imperium: Fourth Edition – Prophecy of Kings / Сутінки Імперії: Четверте видання — Пророцтво Королів,6160.0,False,https://gameisland.prom.ua//ua/p1940448386-dopolnenie-twilight-imperium.html
505,Настільна гра Зіпсований телефон (Telestrations),789.0,False,https://gameisland.prom.ua//ua/p1951067247-nastolnaya-igra-isporchennyj.html
506,Настільна гра Зіпсований телефон. Для дітей (Telestrations),789.0,False,https://gameisland.prom.ua//ua/p1956305101-nastolnaya-igra-isporchennyj.html
31911-11,"ТОП! Вижити! Втеча з Атлантиди: Дельфіни, Восьминіг, Розширення до 5-6 гравців (Survive: Dolphins, Squids) + правила УКРАЇНСЬКОЮ",950.0,False,https://gameisland.prom.ua//ua/p2020513511-top-poslednij-den.html
532157894,Настільна гра Hive Pocket: The Pillbug Expansion (Мокриця) (доповнення),230.0,False,https://gameisland.prom.ua//ua/p2024583307-nastilna-gra-hive.html
532157895,Настільна гра Шакал. Острів Скарб,1800.0,False,https://gameisland.prom.ua//ua/p2024583309-nastilna-gra-shakal.html
532157891,Настільна гра Прага. Серце імперії,2200.0,False,https://gameisland.prom.ua//ua/p2024583310-nastolnaya-igra-praga.html
532157899,Настільна гра Таверна «Червоний Дракон»,1400.0,False,https://gameisland.prom.ua//ua/p2024583314-nastolnaya-igra-taverna.html
5321578910,"Настільна гра Таверна ""Червоний Дракон"": Гулянка в стилі кунг-фу",1450.0,False,https://gameisland.prom.ua//ua/p2024583315-nastolnaya-igra-taverna.html
21-00,УЦІНКА! Настільна гра CATAN: Колонізатори РОСІЙСЬКОЮ,1600.0,False,https://gameisland.prom.ua//ua/p2024953304-utsenka-nastolnaya-igra.html
536,Настільна гра Паранормальні детективи (Paranormal Detectives),1499.0,False,https://gameisland.prom.ua//ua/p2037271615-nastolnaya-igra-paranormalnye.html
228-1,Настільна гра Саботер (Saboteur) ОРІГІНАЛ!,375.0,False,https://gameisland.prom.ua//ua/p2041152036-nastolnaya-igra-saboter.html
25411,Оригінал! 7 Wonders: Duel (7 Чудес: Дуель) українське видання!,1390.0,False,https://gameisland.prom.ua//ua/p2047172179-original-wonders-duel.html
562,Війна Персня. Ігрове поле Делюкс (War of the Ring Deluxe Game Mat),2750.0,False,https://gameisland.prom.ua//ua/p2106468752-vojna-koltsa-igrovoe.html
594,Настільна гра Schotten Totten 2: Облога,450.0,False,https://gameisland.prom.ua//ua/p2119571252-nastolnaya-igra-schotten.html
595,Настільна гра Unmatched: Гудіні проти Джина (Houdini vs. The Genie),1075.0,False,https://gameisland.prom.ua//ua/p2119658047-nastolnaya-igra-unmatched.html
597,Настільна гра Unmatched: Червона Шапочка проти Беовульфа,1075.0,False,https://gameisland.prom.ua//ua/p2120719747-nastolnaya-igra-unmatched.html
601,Настільна гра Дослідники Лісокраю / Explorers of the Woodlands,1350.0,False,https://gameisland.prom.ua//ua/p2121460394-nastolnaya-igra-issledovateli.html
603,Настільна гра Коса (Scythe),3790.0,False,https://gameisland.prom.ua//ua/p2123423776-nastolnaya-igra-serp.html
11966,"Настільна гра Виноробство. Основне видання (Viticulture. Essential Edition, Виноделие)",2770.0,False,https://gameisland.prom.ua//ua/p2292974264-nastilna-gra-vinorobstvo.html
28008,Настільна гра Зоряні війни: Повстання (Star Wars: Rebellion),4600.0,False,https://gameisland.prom.ua//ua/p2312926997-nastolnaya-igra-zvyozdnye.html
28070,Хіт! Настільна гра Немезида / Nemesis / UKR,5750.0,False,https://gameisland.prom.ua//ua/p2417797839-hit-nastolnaya-igra.html
28242,Хіт! Стратегічна дуель у світі Володаря Перснів / UKR,1390.0,False,https://gameisland.prom.ua//ua/p2483786170-hit-duelnaya-igra.html
16728,"ХіТ! Вершники Скіфії (Всадники Скифии, Raiders of Scythia українською)",1610.0,False,https://gameisland.prom.ua//ua/p2520847394-hit-vershniki-skifiyi.html
