id,title,in_stock,price,players,age,maker,bbg_url,url
FI19027,Хто напудив? (Who did it?),В наявності,305.0,3 - 6,6+,FeelIndigo,,https://geekach.com.ua/khto-napudiv-who-did-it/
tkmk0016,Риболови,В наявності,555.0,2 - 6,6+,Така Мака,,https://geekach.com.ua/rybolovy/
270376,Марс-2050,В наявності,792.0,2 - 4,10+,Ранок,,https://geekach.com.ua/mars-2050/
BMB013,Підвищуй Градус,В наявності,549.0,3 - 12,18+,BombatGame,,https://geekach.com.ua/pidvishchuy-gradus/
DK001U,Долина крамарів. Гільдія видатних торговців (Dale of Merchants),В наявності,775.0,2 - 4,10+,Games7Days,,https://geekach.com.ua/dolina-kramariv-dale-of-merchants/
DK002U,Долина крамарів 2: Ера майстрів торгівлі (Dale of Merchants 2),В наявності,775.0,2 - 4,10+,Games7Days,,https://geekach.com.ua/dolina-kramariv-2-dale-of-merchants-2/
DK003U,Долина крамарів 3: Велика континентальна залізниця (Dale of Merchants 3),В наявності,775.0,2 - 4,10+,Games7Days,,https://geekach.com.ua/dolina-kramariv-3-dale-of-merchants-3/
GIGA012,Squadro (Сквадро),В наявності,1192.0,2,8+,Gigamic,,https://geekach.com.ua/squadro-skvadro/
VP001,Шо @**# за гра?! (F**k. The Game),В наявності,650.0,3 - 8,18+,WoodCat,,https://geekach.com.ua/sho-za-hra-fk.-the-game/
GIGA013,Specific (Слідопит),В наявності,425.0,2 - 10,6+,Gigamic,,https://geekach.com.ua/specific-sledopyt/
41081,Калаха (Kalaha) (у картонній коробці),В наявності,349.0,2,8+,Tactic,,https://geekach.com.ua/kalakha-kalaha-v-kartonnoy-korobke/
GKCH046OKB,Острів котів: Набір кораблів (The Isle of Cats: Boat Pack),В наявності,950.0,1 - 6,8+,Geekach,,https://geekach.com.ua/ostriv-kotiv-nabir-korabliv-the-isle-of-cats-boat-pack/
SG 467 UKR,IQ Схеми,В наявності,589.0,1,8+,SmartGames,,https://geekach.com.ua/iq-skhemi/
84085,Суперфермер 3 в 1 Борсук & Коза,В наявності,1099.0,2 - 4,7+,Granna,,https://geekach.com.ua/superfermer-3-v-1-barsuk-koza/
FI21038,Пончевілля (Go Nuts for Donuts),В наявності,665.0,2 - 6,8+,FeelIndigo,,https://geekach.com.ua/ponchevillya-go-nuts-for-donuts/
OTH0088,Між нами,В наявності,749.0,2+,17+,Memo Games,,https://geekach.com.ua/mezhdu-nami-ukr/
BAU0063,Brainy Trainy Уява,В наявності,450.0,1 - 15,6+,The Brainy Band,,https://geekach.com.ua/brainy-trainy-voobrazhenie/
BAU0066,Brainy Trainy Критичне мислення,В наявності,450.0,1 - 15,8+,The Brainy Band,,https://geekach.com.ua/brainy-trainy-kriticheskoe-myshlenie/
BAU0067,Brainy Trainy Логіка,В наявності,450.0,1 - 15,6+,The Brainy Band,,https://geekach.com.ua/brainy-trainy-logika/
