id,title,in_stock,price,players,age,maker,bbg_url,url
1497490213,Сяйво (Glow),В наявності,1595.0,1-4,10+,IGAMES,https://boardgamegeek.com/boardgame/275044/glow,https://gameland.com.ua/siaivo-glow/
1497489604,Петля (The Loop),В наявності,1990.0,1-4,12+,Geekach,https://boardgamegeek.com/boardgame/316412/loop,https://gameland.com.ua/petlia-the-loop/
1497489173,Порт-Роял. Повне видання + промонабір (Port Royal: Big Box),В наявності,1090.0,1-5,8+,Lord Of Boards,https://boardgamegeek.com/boardgame/331265/port-royal-big-box,https://gameland.com.ua/port-royal.-povne-vidannya/
1497490127,Пуерто-Ріко 1897 (Puerto Rico 1897),В наявності,2230.0,2-5,12+,Lelekan,https://boardgamegeek.com/boardgame/367272/puerto-rico-1897,https://gameland.com.ua/puerto-rico-1897/
1497488069,Прадавній жах (Eldritch Horror),В наявності,2360.0,1-8,14+,Geekach,https://boardgamegeek.com/boardgame/146021/eldritch-horror,https://gameland.com.ua/drevniy-zhakh-eldritch-horror/
1497491392,Кіклади. Легендарне видання (Cyclades: Legendary Edition),В наявності,3250.0,2-6,13+,Geekach,https://boardgamegeek.com/boardgame/380619/cyclades-legendary-edition,https://gameland.com.ua/kiklady.-lehendarne-vydannia-cyclades-legendary-edition/
1345862381,Острів Духів (Spirit Island),В наявності,3690.0,1-4,13+,Games 7 Days,https://boardgamegeek.com/boardgame/162886/spirit-island,https://gameland.com.ua/ostriv-dukhiv-spirit-island/
1497491430,Володар Перснів. Дуель за Середземʼя (The Lord of the Rings: Duel for Middle-earth),В наявності,1390.0,2,10+,Ігромаг,https://boardgamegeek.com/boardgame/421006/the-lord-of-the-rings-duel-for-middle-earth,https://gameland.com.ua/volodar-persniv.-duel-za-seredzemia-the-lord-of-the-rings-duel-for-middle-earth/
1497488342,Marvel Champions. Карткова гра (Чемпіони Марвел) (укр.),В наявності,2440.0,1-4,14+,Kilogames,https://boardgamegeek.com/boardgame/285774/marvel-champions-card-game,https://gameland.com.ua/marvel-champions.-kartkova-gra-ukr./
1497489796,Турбо: Спека на треку (Heat: Pedal to the metal),В наявності,2780.0,1-6,10+,Lord Of Boards,https://boardgamegeek.com/boardgame/366013/heat-pedal-metal,https://gameland.com.ua/turbo-speka-na-treku-heat-pedal-to-the-metal/
1497490853,Призначення (Destinies),В наявності,2250.0,1-3,14+,Geekach,https://boardgamegeek.com/boardgame/285192/destinies,https://gameland.com.ua/pryznachennia-destinies/
1497488128,Війна Персня. Друге видання (War of the Ring) (укр.),В наявності,3890.0,2-4,13+,Geekach,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,https://gameland.com.ua/viyna-persnya.-druge-vidannya-ukr./
1497490015,Експедиції (Expeditions),В наявності,3250.0,1-5,14+,Geekach,https://boardgamegeek.com/boardgame/379078/expeditions,https://gameland.com.ua/ekspedytsii-expeditions/
1497491640,Хрещений батько. Імперія Корлеоне (The Godfather: Corleone's Empire),В наявності,3490.0,2-5,14+,Планета Ігор,https://boardgamegeek.com/boardgame/195539/the-godfather-corleones-empire,https://gameland.com.ua/khreshchenyi-batko.-imperiia-korleone-the-godfather-corleones-empire/
1497489346,Кодові імена: Малюнки (Codenames: Pictures),В наявності,950.0,2-8,10+,Feelindigo,https://boardgamegeek.com/boardgame/198773/codenames-pictures,https://gameland.com.ua/kodovi-imena-malіunky-codenames-pictures/
1497488343,Містична Долина (Mystic Vale) (укр.),В наявності,1700.0,2-4,14+,Kilogames,https://boardgamegeek.com/boardgame/194607/mystic-vale,https://gameland.com.ua/mistichna-dolina-ukr./
1459485693,Кодові імена: гра слів (Codenames) (укр.),В наявності,760.0,2-8,14+,Feelindigo,https://boardgamegeek.com/boardgame/178900/codenames,https://gameland.com.ua/kodovi-imena-gra-sliv-codenames-ukr./
1497489236,Каскадія (Cascadia),В наявності,1850.0,1-4,10+,Lord Of Boards,https://boardgamegeek.com/boardgame/295947/cascadia,https://gameland.com.ua/cascadia/
1497487960,Кемет: Кров і пісок (Kemet: Blood and Sand) (укр./рос.),В наявності,3350.0,2-5,13+,Geekach,https://boardgamegeek.com/boardgame/297562/kemet-blood-and-sand,https://gameland.com.ua/kemet-krov-i-pisok-kemet-blood-and-sand/
1497490059,Ходу героям нема! (Keep the Heroes Out!),В наявності,2095.0,1-4,10+,Ігромаг,https://boardgamegeek.com/boardgame/333255/keep-heroes-out,https://gameland.com.ua/khodu-heroiam-nema-keep-the-heroes-out/
1497490089,Палео (Paleo),В наявності,2200.0,1-4,10+,Feelindigo,https://boardgamegeek.com/boardgame/300531/paleo,https://gameland.com.ua/paleo-paleo/
1477899384,Бандероль з настільними іграми Mystery Box MEGA (Передплата на 1 місяць),В наявності,3375.0,1-10,,,,https://gameland.com.ua/mystery-box/
